token_id,decision_score,entry_sec,entry_price,slot0_price,peak_price,exit_sec,exit_price,exit_reason,gross_roi,net_roi,fee_drag,slip_drag,max_drawdown,holding_sec,hit_2x_actual,strategy
12,0.9015531274862127,1,4.70620671766644e-8,3.58307733878674e-8,9.429484582585014e-8,18,9.429484582585014e-8,tp_2x,1.0036273687656032,0.9517637074135024,0.02,0.03186366135210085,0.0,17,1,tp_2x_only
84,0.7419724441268256,1,2.8152640773624547e-8,2.8051267450157235e-8,3.8109991231836096e-8,266,2.568163233612393e-8,timeout,-0.08777181712259263,-0.11163699740899494,0.02,0.003865180286402304,-0.49348040246023817,265,0,tp_2x_only
102,0.8671444391277111,1,4.973736495050541e-8,3.436426117000103e-8,5.54198283142218e-8,544,2.8206870317705565e-8,timeout,-0.43288370130233567,-0.44656978272243397,0.02,-0.006313918579901694,-0.4378542814626559,543,0,tp_2x_only
153,0.7559904585023889,2,5.2499623532218424e-8,3.817185705600054e-8,1.0501900426341451e-7,235,1.0501900426341451e-7,tp_2x,1.0003763302981694,0.9492354332197811,0.02,0.031140897078388314,-0.050583314661111656,233,1,tp_2x_only
201,0.7329433097822325,1,4.198717436904669e-8,3.401884645206802e-8,5.916696005521032e-8,1783,2.808135870511926e-8,timeout,-0.3311919859550948,-0.3476943853601558,0.02,-0.0034976005949390147,-0.3311919859550948,1782,0,tp_2x_only
442,0.804546698640912,1,4.303182372774796e-8,3.449500943322225e-8,4.4898663583030836e-8,516,2.8052434261206056e-8,timeout,-0.3481002701933553,-0.3641301287121319,0.02,-0.003970141481223415,-0.3481002701933553,515,0,tp_2x_only
597,0.9226498260392321,1,1.2130249510118827e-6,1.6608286128654271e-7,1.25363226415006e-6,1798,1.853880871798445e-8,timeout,-0.9847168776680811,-0.9850294393123679,0.02,-0.019687438355713276,-0.9850149146154842,1797,1,tp_2x_only
687,0.8116000135795318,1,9.053256732585758e-8,4.690538817679279e-8,1.2406703838966544e-7,1384,2.8244650117053703e-8,timeout,-0.6880166888961452,-0.6950966350201494,0.02,-0.012920053875995801,-0.6902578443611233,1383,1,tp_2x_only
816,0.8199173354408916,5,4.0212749998572535e-8,3.337038474604543e-8,7.692299262629724e-8,820,2.808036318171698e-8,timeout,-0.3017049770852833,-0.3190405983615517,0.02,-0.0026643787237316356,-0.3017049770852833,815,1,tp_2x_only
866,0.7336992884327854,3,4.329441398206546e-8,3.431069115455084e-8,6.823831575308337e-8,580,2.8095421033214967e-8,timeout,-0.35106129292214494,-0.36700607593382034,0.02,-0.0040552169883246,-0.35106129292214494,577,0,tp_2x_only
973,0.908336007962836,1,3.116837765348126e-8,2.9054110052077262e-8,6.58600740438813e-8,73,6.58600740438813e-8,tp_2x,1.113041454261423,1.0552307990782663,0.02,0.03781065518315675,-0.0004012371217284594,72,1,tp_2x_only
1035,0.7529182251677735,1,3.725092960928572e-8,3.2214567934837374e-8,5.784359562494315e-8,1651,2.8004182664700177e-8,timeout,-0.24822862252223,-0.2671009345374742,0.02,-0.0011276879847558034,-0.24822862252223,1650,0,tp_2x_only
1059,0.8027844691895156,1,3.684890941059995e-8,3.192575504343988e-8,7.417555435769416e-8,1089,7.417555435769416e-8,tp_2x,1.01296471304404,0.9592841793659551,0.02,0.03368053367808489,-0.023998781603786656,1088,1,tp_2x_only
