token_id,arm,oof_score,hit_2x_actual,slot0_price,entry_price,entry_sec,entry_drift,peak_mult,exit_price,exit_sec,hold_sec,exit_reason,gross_roi,net_roi,cost_drag
275748,model,0.8635288836040091,1,4.044966802762062e-8,5.914598261269249e-8,1,0.4622118177164096,3.453627330268437,1.414516461359352e-7,106,105,trail,1.3915681148152954,1.330511052578994,0.06105706223630136
272594,model,0.7364246239790818,0,3.6626281453867974e-8,5.8184073241714556e-8,2,0.5885880556834397,1.0,2.833475732120748e-8,390,388,timeout,-0.5130152335073521,-0.5245528286384631,0.011537595131110967
283797,model,0.8055731989393288,1,4.341305735699308e-8,6.843981273387456e-8,1,0.5764799095139082,5.31075334660062,2.4799307519170565e-7,264,263,trail,2.6235206568436515,2.529795375485095,0.09372528135855651
11586,model,0.7426192261948299,0,3.131854620172587e-8,3.5627074462355445e-8,1,0.1375711449975332,1.6500887385097904,4.06960431816114e-8,20,19,trail,0.14227855628763364,0.11281711268784278,0.02946144359979086
280417,model,0.7736281846699794,1,5.833419625722296e-8,1.2285455467721755e-7,1,1.1060469254687924,2.2070390695018953,8.887755500299038e-8,207,206,trail,-0.2765628003251226,-0.2930188249155159,0.016456024590393303
302979,model,0.7502616816498744,0,2.8937558247904172e-8,2.9961213533307896e-8,18,0.03537462548271031,1.0,2.7968766345296623e-8,94,76,timeout,-0.06650088407788524,-0.0907763825995268,0.02427549852164157
260742,model,0.8991991080580295,1,5.1890971423112993e-8,9.630801907419361e-8,1,0.8559687057871617,1.9454498204869715,9.671458106092543e-8,254,253,trail,0.0042214759543399705,-0.0192538357883536,0.023475311742693572
223511,model,0.8663946018960083,1,2.9247509705732516e-8,3.021039054570357e-8,3,0.032921805981393826,3.0568065486890537,5.954427345272932e-8,161,158,trail,0.970986550559424,0.9171331037182127,0.053853446841211294
306832,model,0.7374880549444588,0,4.307220101302821e-8,5.899644554030724e-8,1,0.36971048966042774,1.0,2.795635306148073e-8,35,34,timeout,-0.5261349593954684,-0.5373394475771871,0.011204488181718708
161274,model,0.852048844839567,1,8.618766248704372e-8,2.662821976660491e-7,1,2.089562821199361,6.756292965775424,1.5337828509200278e-6,1800,1799,timeout,4.759990207244653,4.624916164887682,0.13507404235697074
31163,model,0.8394046449982143,1,3.5506312437131225e-8,4.533870457274944e-8,1,0.276919552066349,1.677347524886199,4.144898838762356e-8,256,255,trail,-0.08579239794742122,-0.1085043107613125,0.02271191281389129
147544,model,0.826171723035531,1,3.0644461102080094e-8,3.234869675735025e-8,2,0.055613170993386474,2.242899971899547,4.734630328700392e-8,226,224,trail,0.46362320689923675,0.42483737123155985,0.038785835667676904
323,model,0.7440614230723487,0,3.87176939421802e-8,5.463002666382613e-8,1,0.4109834832985899,1.1709562855055828,2.816237456975539e-8,748,747,timeout,-0.4844890934603293,-0.496788700508213,0.012299607047883687
137961,model,0.7984854170148468,0,3.458106098226943e-8,4.338259767535951e-8,1,0.2545189893856308,1.3965464790365019,2.8129731767439612e-8,680,679,timeout,-0.3515895019025852,-0.3675176948415715,0.015928192938986285
352326,model,0.7995829241369773,0,2.828115479756552e-8,2.86070382592076e-8,1,0.01152298991942624,1.0,2.7970724623170657e-8,266,265,timeout,-0.022243254623960818,-0.04787829221341977,0.025635037589458953
334574,model,0.769478503388897,1,3.87176939421802e-8,5.3989127431625847e-8,1,0.394430347846944,1.8926240965085428,4.060953017296808e-8,216,215,trail,-0.24782021668348442,-0.2660432285022182,0.01822301181873376
23002,model,0.9044613900510738,1,5.2046791973769245e-8,9.711273447752057e-8,1,0.8658735878757686,1.8219887611519903,6.741222470827414e-8,267,266,trail,-0.3058353770907505,-0.3218504745258628,0.016015097435112313
